date,strat_lordo,strat_netto,nudo3x,ndx1
2017-03-24,141848.5106983846,107837.93739641436,53190.4287493025,277332.09607727156
2017-03-27,142635.16872025502,108435.98088729898,53492.29549630799,277869.68468911207
2017-03-28,145199.37885122877,110385.37838335847,54472.2171133201,279579.41772690584
2017-03-29,147019.56149988223,111769.14153708586,55165.39843807437,280778.3931172766
2017-03-30,147765.39637408944,112336.14991861084,55450.231288292125,281274.74673079
2017-03-31,147464.86009670765,112107.67228351912,55339.07880324229,281099.9376957248
2017-04-03,147121.33729978162,111846.5148720894,55211.73084877891,280898.2559313959
2017-04-04,147763.20479302682,112334.48380607807,55457.79141842905,281329.47983167006
2017-04-05,145975.59022806937,110975.47998858508,54784.07700113053,280204.215561626
2017-04-06,146141.8533448294,111101.8787183865,54851.41612049315,280332.9210845685
2017-04-07,145925.44133163925,110937.35513604268,54770.98613769483,280209.8067978743
2017-04-10,146174.5011729102,111126.69867894422,54867.125973884096,280387.65740471287
2017-04-11,144293.19307324346,109696.4659322176,54156.09477532617,279190.37048513384
2017-04-12,142577.9867756345,108392.50927851125,53508.756833695974,278091.81428813736
2017-04-13,140718.86709307172,106979.14490158847,52804.838419130625,276886.15735097637
2017-04-17,144263.59429468322,109673.96396012303,54150.37789840281,279251.70440216124
2017-04-18,143649.0870777707,109206.79521467203,53919.32299776442,278868.3753512262
2017-04-19,144264.4526996665,109674.61654803102,54154.56216692396,279287.75699885876
2017-04-20,147739.97303277574,112316.8222522469,55470.91780207878,281564.5286334889
2017-04-21,147605.55840968224,112214.63580249884,55421.381306168914,281494.6811183079
2017-04-24,152924.34222051007,116258.15147138521,57432.89660061587,284914.25429971924
2017-04-25,156240.03212986674,118778.84879214459,58684.71689202417,286998.4052737877
2017-04-26,155627.99821235845,118313.56033084323,58454.876809680514,286637.9626239959
2017-04-27,158147.0071129658,120228.59435402244,59405.80597475547,288206.49875887064
2017-04-28,159170.7780347313,121006.89892716218,59793.06939719526,288847.06254327245
2017-05-01,163088.3374257336,123985.1573683236,61269.42937770739,291238.7892780971
2017-05-02,164325.7457224921,124925.87615192356,61736.105989142,291992.7479646443
2017-05-03,162662.80478107094,123661.65335358754,61110.76518142387,291021.4192364316
2017-05-04,162748.6275374387,123726.89865636025,61143.78316718429,291088.34451505844
2017-05-05,164446.82579861552,125017.92523727994,61783.55272869845,292118.11470779707
2017-05-08,165564.8685532941,125867.89838110737,62204.83150976284,292796.6297819851
2017-05-09,167236.92581574988,127139.0517087255,62834.43806760651,293799.0784713254
2017-05-10,167519.33894434007,127353.75152567029,62941.40406077543,293980.4455188537
2017-05-11,166845.8219693662,126841.72160709689,62688.56028020325,293601.45313325606
2017-05-12,167940.9798307159,127674.2968968194,63100.935912760724,294259.88054281933
2017-05-15,169490.7256815658,128852.46503705218,63684.200234454984,295181.2040799961
2017-05-16,171253.79502418241,130192.80876331731,64347.714311130665,296221.07048593607
2017-05-17,158344.42994226966,120378.68172964787,59490.33079577793,288782.27875014534
2017-05-18,162219.40711013772,123324.56775399685,60949.13416146278,291157.15603497706
2017-05-19,164386.57381853843,124972.11968582528,61764.96004548903,292470.7561488385
2017-05-22,168542.66126726047,128131.71505910553,63328.63268447717,294953.45301024185
2017-05-23,168878.91632799004,128387.34729669233,63455.35926096697,295164.90490886697
2017-05-24,171256.2240866166,130194.65541705668,64349.92436974918,296566.6581265635
2017-05-25,175549.92732635787,133458.8708739996,65964.34888378713,299061.5562475982
2017-05-26,176445.91583118172,134140.03102023865,66301.31306511576,299585.69954628625
2017-05-30,177004.910662496,134564.99741098465,66511.58507425594,299917.34729491925
2017-05-31,176456.68649951022,134148.2192391435,66305.63016238293,299622.7361134935
2017-06-01,178973.89405377494,136061.8838191529,67251.94261740452,301064.1110387808
2017-06-02,184952.08431063098,140606.70211501417,69498.90262790673,304433.1188232509
